No	| English	| Vietnamese
1	| a	| nhỏ, một ít
2	| abandon	| bỏ, từ bỏ
3	| abandoned	| bị bỏ rơi, bị ruồng bỏ
4	| ability	| khả năng, năng lực
5	| able	| có năng lực, có tài
6	| about	| khoảng, về
7	| above	| ở trên, lên trên
8	| abroad	| ở, ra nước ngoài, ngoài trời
9	| absence	| sự vắng mặt
10	| absent	| vắng mặt, nghỉ
11	| absolute	| tuyệt đối, hoàn toàn
12	| absolutely	| tuyệt đối, hoàn toàn
13	| absorb	| thu hút, hấp thu, lôi cuốn
14	| abuse	| lộng hành, lạm dụng
15	| academic	| thuộc học viện, đh, viện hàn lâm
16	| accent	| trọng âm, dấu trọng âm
17	| accept	| chấp nhận, chấp thuận
18	| acceptable	| có thể chấp nhận, chấp thuận
19	| access	| lối, cửa, đường vào
20	| accident	| tainạn, rủiro. by accident:tìnhcờ
21	| accidental	| tình cờ, bất ngờ
22	| accidentally	| tình cờ, ngẫu nhiên
23	| accommodation	| sự thích nghi, sự điều tiết, sự làm cho phù hợp
24	| accompany	| đi theo, đi cùng, kèm theo.
25	| according to	| theo, y theo
26	| account	| tài khoản, kế toán; tính toán, tính đến
27	| accurate	| đúng đắn, chính xác, xác đáng
28	| accurately	| đúng đắn, chính xác
29	| accuse	| tố cáo, buộc tội, kết tội
30	| achieve	| đạt được, dành được
31	| achievement	| thành tích, thành tựu
32	| acid	| axit
33	| acknowledge	| công nhận, thừa nhận
34	| acquire	| dành được, đạt được, kiếm được
35	| across	| qua, ngang qua
36	| act	| hànhđộng,hànhvi,cử chỉ, đốixử
37	| action	| hànhđộng,hànhvi,tác động.takeaction:hànhđộng
38	| active	| tích cực hoạt động, nhanh nhẹn
39	| actively	| tích cực hoạt động; nhanh nhẹn, linh lợi; có hiệu lực
40	| activity	| sự tích cực, sự hoạt động, sự nhanh nhẹn, sự linh lợi
41	| actor	| diễn viên nam
42	| actress	| diễn viên nữ
43	| actual	| thực tế, có thật
44	| actually	| hiện nay, hiện tại
45	| adapt	| tra, lắp vào
46	| add	| cộng, thêm vào
47	| addition	| tính cộng, phép cộng
48	| additional	| thêm vào, tăng thêm
49	| address	| địa chỉ, đề địa chỉ
50	| adequate	| đầy, đầy đủ
51	| adequately	| tươngxứng, thỏađáng
52	| adjust	| sửa lại cho đúng, điều chỉnh
53	| admiration	| sự khâm phục, thán phục
54	| admire	| khâm phục, thán phục
55	| admit	| nhận vào, cho vào, kết hợp
56	| adopt	| nhận làm con nuôi, bố mẹ nuôi
57	| adult	| người lớn, người trưởng thành; trưởng thành
58	| advance	| sự tiến bộ, tiến lên; đưa lên, đề xuat
59	| advanced	| tiên tiến, tiến bộ, cap cao. in advance trước, sớm
60	| advantage	| sự thuận lợi, lợi ích, lợi thế. take advantage of lợi dụng
61	| adventure	| sự phiêu lưu, mạo hiểm
62	| advertise	| báo cho biết, báo cho biết trước
63	| advertisement	| quảng cáo
64	| advertising	| sự quảng cáo, nghề quảng cáo
65	| advice	| lời khuyên, lời chỉ bảo
66	| advise	| khuyên, khuyên bảo, răn bảo
67	| affair	| việc
68	| affect	| làmảnhhưởng,tácđộngđến
69	| affection	| tình cảm, sự yêu mến
70	| afford	| có thể, có đủ khả năng, điều kiện (làm gì)
71	| afraid  sợ, sợ hãi, hoảng sợ	| null
72	| after   sau,đằngsau,saukhi	| null
73	| afternoon	| buổi chiều
74	| afterwards	| sau này, về sau, rồi thì, sau đây
75	| again	| lại, nữa, lần nữa
76	| against	| chống lại, phản đối
77	| age tuổi	| null
78	| aged	| già đi
79	| agency	| tácdụng,lực; môigiới,trunggian
80	| agent	| đại lý, tác nhân
81	| aggressive	| xâm lược, hung hăng (us: xông xáo)
82	| ago	| trước đây
83	| agree	| đồng ý, tán thành
84	| agreement	| sự đồng ý, tán thành; hiệp định, hợp đồng
85	| ahead	| trước, về phía trước
86	| aid	| sự giúp đỡ; thêm vào, phụ vào
87	| aim	| sự nhắm (bắn), mục tiêu, ý định; nhắm, tập trung, hướng vào
88	| air	| không khí, bầu không khí, không gian
89	| aircraft	| máy bay, khí cầu
90	| airport	| sân bay, phi trường
91	| alarm	| báo động, báo nguy
92	| alarmed	| báo động
93	| alarming	| làm lo sợ, làm hốt hoảng, làm sợ hãi
94	| alcohol	| rượu cồn
95	| alcoholic	| rượu; người nghiện rượu
96	| alive	| sống, vẫn còn sống, còn tồn tại
97	| all	| tất cả
98	| all right	|  tốt, ổn, khỏe mạnh; được
99	| allied	| liên minh, đồng minh, thông gia
100	| allow	| cho phép, để cho
101	| ally	| nước đồng minh, liên minh; liên kết, kết thông gia
102	| almost	| hầu như, gần như
103	| alone	| cô đơn, một mình
104	| along	| dọc theo, theo; theo chiều dài, suốt theo
105	| alongside	| sát cạnh, kế bên, dọc theo
106	| aloud	| lớn tiếng, to tiếng
107	| alphabet	| bảng chữ cái, bước đầu, điều cơ bản
108	| alphabetical	| thuộc bảng chứ cái
109	| alphabetically	| theo thứ tự abc
110	| already	| đã, rồi, đã… rồi
111	| also	| cũng, cũng vậy, cũng thế
112	| alter	| thay đổi, biến đổi, sửa đổi
113	| alternative	| sự lựa chọn; lựa chọn
114	| alternatively	| như một sự lựa chọn
115	| although	| mặc dù, dẫu cho
116	| altogether	| hoàn toàn, hầu như; nói chung
117	| always	| luôn luôn
118	| amaze	| làm ngạc nhiên, làm sửng sốt
119	| amazed	| kinh ngạc, sửng sốt
120	| amazing	| kinh ngạc, sửng sốt
121	| ambition	| hoài bão, khát vọng
122	| ambulance	| xe cứu thương, xe cấp cứu
123	| among, amongst	| giữa, ở giữa
124	| amount	| số lượng, số nhiều; lên tới (money)
125	| amuse	| làm cho vui, thích, làm buồn cười
126	| amused	| vui thích
127	| amusing	| vui thích
128	| analyse, analyze	| phân tích
129	| analysis	| sự phân tích
130	| ancient	| xưa, cổ
131	| and	| và
132	| anger	| sự tức giận, sự giận dữ
133	| angle	| góc
134	| angrily	| tức giận, giận dữ
135	| angry	| giận, tức giận
136	| animal	| động vật, thú vật
137	| ankle	| mắt cá chân
138	| anniversary	| ngày, lễ kỉ niệm
139	| announce	| báo, thông báo
140	| annoy	| chọc tức, làm bực mình; làm phiền, quẫy nhiễu
141	| annoyed	| bị khó chịu, bực mình, bị quấy rầy
142	| annoying	| chọc tức, làm bực mình; làm phiền, quấy nhiễu
143	| annual	| hàng năm, từng năm
144	| annually	| hàng năm, từng năm
145	| another	| khác
146	| answer	| sự trả lời; trả lời
147	| anti	| chống lại
148	| anticipate	| thấy trước, chặn trước, lường trước
149	| anxiety	| mối lo âu, sự lo lắng
150	| anxious	| lo âu, lo lắng, băn khoăn
151	| anxiously	| lo âu, lo lắng, băn khoăn
152	| any	| một người, vật nào đó; bất cứ; một chút nào, tí nào
153	| anyone (anybod)	| người nào, bất cứ ai
154	| anything	| việc gì, vật gì; bất cứ việc gì, vật gì
155	| anyway	| thế nào cũng được, dù sấo chăng nữa
156	| anywhere	| bất cứ chỗ nào, bất cứ nơi đâu
157	| apart	| về một bên, qua một bên
158	| apart from	| ngoài… ra
159	| apart from, aside from	| ngoài ra
160	| apartment	| căn phòng, căn buồng
161	| apologize	| xin lỗi, tạ lỗi
162	| apparent	| rõ ràng, rành mạch; bề ngoài, có vẻ
163	| apparently	| nhìn bên ngoài, hình như
164	| appeal	| sự kêu gọi, lời kêu gọi; kêu gọi, cầu khẩn
165	| appear	| xuất hiện, hiện ra, trình diện
166	| appearance	| sự xuất hiện, sự trình diện
167	| apple	| quả táo
168	| application	| sự gắn vào, vật gắn vào; sự chuyên cần, chuyên tâm
169	| apply	| gắn vào, ghép vào, áp dụng vào
170	| appoint	| bổ nhiệm, chỉ định, chọn
171	| appointment	| sự bổ nhiệm, người được bổ nhiệm
172	| appreciate	| thấy rõ; nhận thức
173	| approach	| đến gần, lại gần; sự đến gần, sự lại gần
174	| appropriate (to, for)	| thíchhợp,thíchđáng
175	| approval	| sự tán thành, đồng ý, sự chấp thuận
176	| approve	| tán thành, đồng ý, chấp thuận
177	| approving	| tán thành, đồng ý, chấp thuận
178	| approximate	| giống với, giống hệt với
179	| approximately	| khoảng chừng, độ chừng
180	| april (abbr apr)	| tháng tư
181	| area	| diện tích, bề mặt
182	| argue	| chứng tỏ, chỉ rõ
183	| argument	| lý lẽ
184	| arise	| xuất hiện, nảy ra, nảy sinh ra
185	| arm	| cánh tay; vũ trang, trang bị (vũ khí)
186	| armed	| vũ trang
187	| arms	| vũ khí, binh giới, binh khí
188	| army	| quân đội
189	| around	| xung quanh, vòng quanh
190	| arrange	| sắp xếp, sắp đặt, sửa soạn
191	| arrangement	| sự sắp xếp, sắp đặt, sự sửa soạn
192	| arrest	| bắt giữ, sự bắt giữ
193	| arrival	| sự đến, sự tới nơi
194	| arrive (at, in)	| đến, tới nơi
195	| arrow	| tên, mũi tên
196	| art	| nghệ thuật, mỹ thuật
197	| article	| bài báo, đề mục
198	| artificial	| nhân tạo
199	| artificially	| nhân tạo
200	| artist	| nghệ sĩ
201	| artistic	| thuộc nghệ thuật, thuộc mỹ thuật
202	| as	| như (as you know…)
203	| as well	| cũng, cũng như
204	| ashamed	| ngượng, xấu hổ
205	| aside	| vềmộtbên,sangmộtbên.asidefrom:ngoàira,trưra
206	| ask	| hỏi
207	| asleep	| ngủ, đang ngủ. fall asleep ngủ thiếp đi
208	| aspect	| vẻ bề ngoài, diện mạo
209	| assist	| giúp, giúp đỡ; tham dự, có mặt
210	| assistance	| sự giúp đỡ
211	| assistant	| người giúpđỡ,ngườiphụtá; giúp đỡ
212	| associate	| kết giao, liên kết, kết hợp, cho cộng tác. associated with liên kết với
213	| association	| sự kết hợp, sự liên kết
214	| assume	| mang, khoác, có, lấy (cái vẻ, tính chất…)
215	| assure	| đảm bảo, cấm đoán
216	| atmosphere	| khí quyển
217	| atom	| nguyên tử
218	| attach	| gắn, dán, trói, buộc
219	| attached	| gắn bó
220	| attack	| sự tấn công, sự công kích; tấn công, công kích
221	| attempt	| sự cố gắng, sự thử; cố gắng, thử
222	| attempted	| cố gắng, thử
223	| attend	| dự, có mặt
224	| attention	| sự chú ý
225	| attitude	| thái độ, quan điểm
226	| attorney	| người được ủy quyền
227	| attract	| hút; thu hút, hấp dẫn
228	| attraction	| sự hút, sức hút
229	| attractive	| hút, thu hút, có duyên, lôi cuốn
230	| audience	| thính, khan giả
231	| august (abbr aug)	| tháng tám
232	| aunt	| cô, dì
233	| author	| tác giả
234	| authority	| uy quyền, quyền lực
235	| automatic	| tự động
236	| automatically	| một cách tự động
237	| autumn	| mùa thu (us: mùa thu là fall)
238	| available	| có thể dùng được, có giá trị, hiệu lực
239	| average	| trungbình,sốtrungbình,mứctrungbình
240	| avoid	| tránh, tránh xa
